Location_ID,City,State,Area,Latitude,Longitude,Road_Type,Transport_Mode,Passenger_Count,Passenger_Demand,Vehicle_Count,Road_Occupancy_Percent,Traffic_Status,Traffic_Speed_kmh,Weather_Condition,Parking_Availability_Percent,Emission_Level_g_km,Average_Travel_Time_Min,Date
GEO-0001,Delhi,Delhi,Central,28.616003,77.20071,Highway,Bus,463,541,145,72.62,High,16,Clear,86.84,211.43,53,2026-03-02 17:00:00
GEO-0002,Lucknow,Uttar Pradesh,North,26.795325,80.897973,Main Road,E-Rickshaw,386,324,458,97.18,Low,41,Cloudy,4.69,128.2,24,2026-02-05 23:00:00
GEO-0003,Chennai,Tamil Nadu,East,13.061284,80.270974,City Road,E-Rickshaw,559,660,406,53.33,High,22,Clear,31.18,25.29,41,2026-02-02 20:00:00
GEO-0004,Delhi,Delhi,Central,28.641439,77.161109,City Road,Auto,359,483,122,96.24,High,18,Hazy,39.95,78.39,42,2026-01-15 07:00:00
GEO-0005,Indore,Madhya Pradesh,North,22.659916,75.83372,City Road,Auto,443,364,274,36.41,High,29,Hazy,48.39,194.9,39,2026-01-01 22:00:00
GEO-0006,Pune,Maharashtra,North,18.442855,73.846086,Highway,Taxi,498,638,73,24.09,High,35,Rain,74.02,230.57,58,2026-02-21 10:00:00
GEO-0007,Surat,Gujarat,East,21.182959,72.762875,Main Road,E-Rickshaw,596,859,444,33.68,Severe,15,Clear,33.76,116.84,43,2026-02-17 17:00:00
GEO-0008,Ahmedabad,Gujarat,West,23.002666,72.566569,City Road,Taxi,92,76,92,89.81,Moderate,52,Cloudy,41.91,108.2,45,2026-03-10 04:00:00
GEO-0009,Hyderabad,Telangana,East,17.338551,78.604803,Expressway,Metro,657,689,420,54.85,Low,24,Hazy,24.8,98.0,36,2026-07-14 20:00:00
GEO-0010,Surat,Gujarat,East,21.167087,72.769793,Main Road,Taxi,938,1349,345,79.51,High,22,Hazy,54.83,210.61,27,2026-01-15 21:00:00
GEO-0011,Surat,Gujarat,West,21.187891,72.775469,Highway,Bus,847,713,385,99.01,High,34,Clear,75.93,192.85,50,2026-03-20 18:00:00
GEO-0012,Lucknow,Uttar Pradesh,North,26.836848,80.901215,Expressway,Train,154,149,190,61.33,Severe,10,Hazy,68.5,244.68,15,2026-02-13 17:00:00
GEO-0013,Ahmedabad,Gujarat,Central,23.012265,72.631287,City Road,Bus,985,816,62,15.28,Moderate,32,Rain,99.18,170.01,18,2026-07-10 13:00:00
GEO-0014,Coimbatore,Tamil Nadu,South,11.015782,76.983266,Expressway,Bus,843,637,421,17.44,Low,65,Rain,42.84,215.04,51,2026-05-28 10:00:00
GEO-0015,Kolkata,West Bengal,North,22.615322,88.319295,Main Road,Auto,431,494,19,53.06,Low,68,Clear,44.31,37.28,5,2026-06-30 23:00:00
GEO-0016,Kolkata,West Bengal,East,22.594294,88.278953,Main Road,Taxi,665,864,108,76.21,Moderate,47,Rain,18.76,161.68,5,2026-05-01 10:00:00
GEO-0017,Nagpur,Maharashtra,West,21.145413,79.073877,Expressway,E-Rickshaw,156,204,498,18.31,High,32,Clear,68.28,149.82,28,2026-02-27 18:00:00
GEO-0018,Surat,Gujarat,Central,21.157177,72.93092,Main Road,E-Rickshaw,131,171,366,20.07,Moderate,54,Cloudy,54.21,107.26,9,2026-02-12 05:00:00
GEO-0019,Chennai,Tamil Nadu,East,13.066246,80.30864,Highway,Train,495,397,409,25.36,Low,35,Cloudy,48.47,52.79,53,2026-07-20 00:00:00
GEO-0020,Pune,Maharashtra,West,18.459558,73.830887,Expressway,Metro,860,976,431,41.6,High,22,Cloudy,49.83,32.42,8,2026-01-21 07:00:00
GEO-0021,Mumbai,Maharashtra,South,19.031506,72.907371,Highway,Bus,810,1158,137,16.53,Moderate,39,Hazy,82.67,106.22,60,2026-05-01 17:00:00
GEO-0022,Kochi,Kerala,West,9.904439,76.299125,Main Road,Train,28,24,250,68.3,Low,25,Rain,32.76,163.72,35,2026-02-07 14:00:00
GEO-0023,Ahmedabad,Gujarat,West,23.005857,72.651432,Ring Road,Auto,337,321,367,79.87,High,32,Rain,80.18,26.41,14,2026-06-25 04:00:00
GEO-0024,Visakhapatnam,Andhra Pradesh,South,17.620726,83.210505,Highway,Metro,411,421,20,45.24,High,16,Cloudy,44.01,113.9,27,2026-07-05 06:00:00
GEO-0025,Jaipur,Rajasthan,East,26.992272,75.777089,City Road,E-Rickshaw,63,47,391,49.48,Moderate,40,Rain,38.82,54.57,22,2026-03-26 02:00:00
